id	hunting_type	level	unk_1	loc_x	loc_y	loc_z	unk_2	affiliated_area_id	name
126	3	0	0	111455.00000000	219400.00000000	-3546.00000000	0	121	a,Heine\0
127	3	0	0	115988.00000000	246899.00000000	-976.00000000	0	121	a,Innadril Castle\0
128	1	38	0	116267.00000000	201177.00000000	-3432.00000000	0	121	a,Alligator Beach\0
129	6	0	0	12443.00000000	183467.00000000	-3560.00000000	0	1	a,Dion Arena\0
130	3	0	0	-55699.00000000	-114967.00000000	2528.00000000	0	138	a,The Pa'agrio Temple\0
131	3	0	0	-45158.00000000	-112583.00000000	-236.00000000	0	138	a,Orc Village\0
132	7	0	0	-8830.00000000	-119289.00000000	424.00000000	0	138	a,The Immortal Plateau\0
133	2	10	0	9340.00000000	-112509.00000000	-2536.00000000	0	138	a,Cave of Trials\0
134	7	0	0	11810.00000000	-139730.00000000	-1872.00000000	0	138	a,Frozen Waterfalls\0
135	1	1	0	-39347.00000000	-107274.00000000	-2072.00000000	0	138	a,Valley of Heroes\0
136	1	8	0	-9465.00000000	-134046.00000000	-2228.00000000	0	138	a,Immortal Plateau, Northern Region\0
137	1	18	0	-4190.00000000	-80040.00000000	-2696.00000000	0	138	a,Immortal Plateau, Southern Region\0
138	0	0	0	0.00000000	0.00000000	0.00000000	0	138	a,Schuttgart Territory\0
139	7	0	0	106561.00000000	-173949.00000000	-400.00000000	0	138	a,Strip Mine\0
140	3	0	0	115120.00000000	-178224.00000000	-917.00000000	0	138	a,Dwarven Village\0
141	7	0	0	147493.00000000	-200840.00000000	192.00000000	0	138	a,Spine Mountains\0
142	2	10	0	139714.00000000	-177456.00000000	-1536.00000000	0	138	a,Abandoned Coal Mines\0
143	2	23	0	171946.00000000	-173352.00000000	3440.00000000	0	138	a,Mithril Mines\0
144	1	1	0	112971.00000000	-174924.00000000	-608.00000000	0	138	a,Frozen Valley\0
145	1	8	0	128527.00000000	-204036.00000000	-3408.00000000	0	138	a,Western Mining Zone\0
146	1	18	0	175836.00000000	-205837.00000000	-3384.00000000	0	138	a,Eastern Mining Zone\0
147	7	0	0	113826.00000000	-171150.00000000	-160.00000000	0	138	a,Mining Zone Passage\0
148	1	30	0	115298.00000000	-160886.00000000	-1296.00000000	0	138	a,Plunderous Plains\0
149	1	53	0	123037.00000000	-118112.00000000	-2576.00000000	0	138	a,Frozen Labyrinth\0
150	1	57	0	102728.00000000	-126242.00000000	-2840.00000000	0	138	a,The Ice Queen's Castle\0
151	1	46	0	91129.00000000	-123951.00000000	-4128.00000000	0	138	a,Pavel Ruins\0
152	7	0	0	76021.00000000	-110477.00000000	-1704.00000000	0	138	a,Caron's Dungeon\0
153	1	40	0	68693.00000000	-110438.00000000	-1946.00000000	0	138	a,Den of Evil\0
154	1	25	0	47692.00000000	-115745.00000000	-3744.00000000	0	138	a,Crypts of Disgrace\0
155	7	0	0	32173.00000000	-122954.00000000	-792.00000000	0	138	a,Valley of the Lords\0
156	3	0	0	77630.00000000	-150885.00000000	368.00000000	0	138	a,Schuttgart Castle\0
157	3	0	0	88249.00000000	-142713.00000000	-1336.00000000	0	138	a,Town of Schuttgart\0
158	2	50	0	90418.00000000	-107317.00000000	-3328.00000000	0	138	a,Archaic Laboratory\0
159	7	0	0	108251.00000000	-120886.00000000	-3744.00000000	0	138	a,Frost Lake\0
160	1	39	0	121618.00000000	-141554.00000000	-1496.00000000	0	138	a,Sky Wagon Relic\0
161	2	21	0	-41184.00000000	206752.00000000	-3357.00000000	0	30	a,Necropolis of Sacrifice\0
162	2	60	0	-56064.00000000	78720.00000000	-3011.00000000	0	67	a,Necropolis of Devotion\0
163	2	52	0	-25472.00000000	77728.00000000	-3446.00000000	0	30	a,The Patriot's Necropolis\0
164	2	72	0	-22480.00000000	13872.00000000	-3174.00000000	0	67	a,Catacomb of Dark Omens\0
165	2	42	0	43200.00000000	170688.00000000	-3251.00000000	0	16	a,Catacomb of the Branded\0
166	2	30	0	39232.00000000	143568.00000000	-3651.00000000	0	1	a,Catacomb of the Heretic\0
167	2	32	0	45600.00000000	126944.00000000	-3686.00000000	0	1	a,The Pilgrim's Necropolis\0
168	2	70	0	79296.00000000	209584.00000000	-3709.00000000	0	121	a,The Saint's Necropolis\0
169	2	42	0	107514.00000000	174329.00000000	-3704.00000000	0	121	a,Necropolis of Worship\0
170	2	65	0	114496.00000000	132416.00000000	-3101.00000000	0	16	a,Necropolis of Martyrdom\0
171	2	51	0	74672.00000000	78032.00000000	-3398.00000000	0	67	a,Catacomb of the Apostate\0
172	2	72	0	110912.00000000	84912.00000000	-4816.00000000	0	97	a,Catacomb of the Forbidden Path\0
173	2	60	0	136672.00000000	79328.00000000	-3702.00000000	0	97	a,Catacomb of the Witch\0
174	2	70	0	168560.00000000	-17968.00000000	-3174.00000000	0	97	a,The Disciple's Necropolis\0
175	2	0	0	-79184.00000000	111952.00000000	-4897.00000000	0	179	a,Oracle of Dawn\0
176	2	0	0	-80208.00000000	87120.00000000	-5153.00000000	0	179	a,Oracle of Dusk\0
177	2	30	0	0.00000000	0.00000000	0.00000000	0	179	a,Dimensional Rift\0
178	6	0	0	-21453.00000000	-21058.00000000	-3024.00000000	0	179	a,Olympiad Stadium\0
179	0	0	0	0.00000000	0.00000000	0.00000000	0	179	a,Border\0
180	0	0	0	0.00000000	0.00000000	0.00000000	0	180	a,Goddard Territory\0
181	3	0	0	148024.00000000	-55281.00000000	-2728.00000000	0	180	a,Town  of Goddard\0
182	3	0	0	147450.00000000	-47331.00000000	-496.00000000	0	180	a,Goddard Castle\0
183	1	67	0	132997.00000000	-60608.00000000	-2960.00000000	0	180	a,Garden of Beasts\0
184	1	73	0	151778.00000000	-106829.00000000	-2888.00000000	0	180	a,Hot Springs\0
185	5	0	0	139997.00000000	-124860.00000000	-1896.00000000	0	180	a,Rainbow Springs Chateau\0
186	2	78	0	168902.00000000	-116703.00000000	-2417.00000000	0	180	a,Forge of the Gods\0
187	2	80	0	189964.00000000	-116820.00000000	-1624.00000000	0	180	a,Hall of Flames\0
188	2	85	0	215378.00000000	-116635.00000000	-1608.00000000	0	180	a,Valakas' Lair\0
189	1	77	0	146990.00000000	-67128.00000000	-3640.00000000	0	180	a,Ketra Orc Outpost\0
190	3	0	0	149548.00000000	-82014.00000000	-5592.00000000	0	180	a,Ketra Orc Village\0
191	2	76	0	186699.00000000	-75915.00000000	-2826.00000000	0	180	a,Imperial Tomb\0
192	7	0	0	168982.00000000	-86455.00000000	-3007.00000000	0	180	a,Pilgrim's Temple\0
193	1	68	0	165054.00000000	-47861.00000000	-3560.00000000	0	180	a,Wall of Argos\0
194	1	73	0	190112.00000000	-61776.00000000	-2944.00000000	0	180	a,Shrine of Loyalty\0
195	1	77	0	125740.00000000	-40864.00000000	-3736.00000000	0	180	a,Varka Silenos Barracks\0
196	3	0	0	108155.00000000	-53670.00000000	-2472.00000000	0	180	a,Varka Silenos Village\0
197	2	83	0	178127.00000000	-84435.00000000	-7215.00000000	0	180	a,Four Sepulchers\0
198	1	60	0	102621.00000000	-60798.00000000	-2144.00000000	0	180	a,Devil's Pass\0
199	2	80	0	174141.00000000	-88685.00000000	-5112.00000000	0	180	a,The Last Imperial Tomb\0
200	0	0	0	0.00000000	0.00000000	0.00000000	0	200	a,Rune Territory\0
201	3	0	0	43835.00000000	-47749.00000000	-792.00000000	0	200	a,Rune Township\0
202	3	0	0	14659.00000000	-49230.00000000	-160.00000000	0	200	a,Rune Castle\0
203	4	0	0	36839.00000000	-38435.00000000	-3640.00000000	0	200	a,Rune Harbor\0
204	7	0	0	40723.00000000	-94881.00000000	-2096.00000000	0	200	a,Windtail Waterfall\0
205	1	63	0	43805.00000000	-88010.00000000	-2780.00000000	0	200	a,Beast Farm\0
206	5	0	0	55133.00000000	-93217.00000000	-1360.00000000	0	200	a,Wild Beast Reserve\0
207	1	60	0	79981.00000000	-82301.00000000	-3680.00000000	0	200	a,Valley of Saints\0
208	1	63	0	52107.00000000	-54328.00000000	-3158.00000000	0	200	a,Forest of the Dead\0
209	3	0	0	57670.00000000	-41672.00000000	-3154.00000000	0	200	a,Cursed Village\0
210	5	0	0	57966.00000000	-28378.00000000	584.00000000	0	200	a,Fortress of the Dead\0
211	1	66	0	69340.00000000	-50203.00000000	-3314.00000000	0	200	a,Swamp of Screams\0
212	2	80	0	125480.00000000	-75834.00000000	-2945.00000000	0	200	a,Monastery of Silence\0
213	2	81	0	35630.00000000	-49748.00000000	-760.00000000	0	200	a,The Pagan Temple\0
214	2	72	0	90134.00000000	-45130.00000000	-2168.00000000	0	200	a,Stakato Nest\0
215	4	0	0	111418.00000000	225960.00000000	-3624.00000000	0	121	a,Tour Boat Dock\0
216	7	0	0	113750.00000000	-109163.00000000	-832.00000000	0	138	a,Ice Merchant Cabin\0
217	7	0	0	126272.00000000	-159336.00000000	-1232.00000000	0	138	a,Brigand Stronghold\0
218	1	83	0	8480.00000000	-14624.00000000	-3693.00000000	0	200	a,Primeval Isle\0
219	4	0	0	10448.00000000	-24960.00000000	-3664.00000000	0	200	a,Primeval Isle Wharf\0
220	7	0	0	26240.00000000	-7840.00000000	-1972.00000000	0	200	a,Anachron's Den\0
