name	floats_1[0]	floats_1[1]	floats_1[2]	ints_1[0]	ints_1[1]	ints_1[2]	floats_2[0]	floats_2[1]	floats_2[2]	ints_2[0]	ints_2[1]	ints_2[2]	floats_3[0]	floats_3[1]	floats_3[2]	ints_3[0]	ints_3[1]	ints_3[2]	floats_4[0]	floats_4[1]	floats_4[2]	ints_4[0]	ints_4[1]	ints_4[2]	floats_5[0]	floats_5[1]	floats_5[2]	ints_5[0]	ints_5[1]	ints_5[2]	floats_6[0]	floats_6[1]	floats_6[2]	ints_6[0]	ints_6[1]	ints_6[2]	floats_7[0]	floats_7[1]	floats_7[2]	ints_7[0]	ints_7[1]	ints_7[2]	floats_8[0]	floats_8[1]	floats_8[2]	ints_8[0]	ints_8[1]	ints_8[2]	floats_9[0]	floats_9[1]	floats_9[2]	ints_9[0]	ints_9[1]	ints_9[2]	floats_A[0]	floats_A[1]	floats_A[2]	ints_A[0]	ints_A[1]	ints_A[2]	floats_B[0]	floats_B[1]	floats_B[2]	ints_B[0]	ints_B[1]	ints_B[2]	floats_C[0]	floats_C[1]	floats_C[2]	ints_C[0]	ints_C[1]	ints_C[2]	floats_D[0]	floats_D[1]	floats_D[2]	ints_D[0]	ints_D[1]	ints_D[2]	floats_E[0]	floats_E[1]	floats_E[2]	ints_E[0]	ints_E[1]	ints_E[2]	floats_F[0]	floats_F[1]	floats_F[2]	ints_F[0]	ints_F[1]	ints_F[2]
LineageAccessory.Melf_hero_cap_m000_a	4.90000010	-1.00000000	0.00000000	16384	32768	0	4.90000010	-1.00000000	0.00000000	16384	32768	0	4.90000010	-1.20000005	0.00000000	16384	32768	0	4.90000010	-1.10000002	0.00000000	16384	32768	0	4.90000010	-0.80000001	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Morc_hero_cap_m000_a	4.69999981	-0.89999998	0.00000000	16384	32768	0	4.69999981	-0.89999998	0.00000000	16384	32768	0	4.69999981	-0.89999998	0.00000000	16384	32768	0	4.69999981	-0.89999998	0.00000000	16384	32768	0	4.69999981	-0.89999998	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Forc_hero_cap_m000_a	5.50000000	0.50000000	0.00000000	16384	32768	0	5.50000000	0.50000000	0.00000000	16384	32768	0	5.50000000	0.50000000	0.00000000	16384	32768	0	5.50000000	0.50000000	0.00000000	16384	32768	0	5.50000000	0.50000000	0.00000000	16384	32768	0	5.50000000	0.50000000	0.00000000	16384	32768	0	5.50000000	0.50000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Mshaman_hero_cap_m000_a	5.90000010	-1.29999995	0.00000000	16384	32768	0	5.90000010	-1.29999995	0.00000000	16384	32768	0	5.90000010	-1.29999995	0.00000000	16384	32768	0	5.90000010	-1.29999995	0.00000000	16384	32768	0	5.90000010	-1.29999995	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Fshaman_hero_cap_m000_a	5.09999990	0.20000000	0.00000000	16384	32768	0	5.09999990	0.20000000	0.00000000	16384	32768	0	5.09999990	0.20000000	0.00000000	16384	32768	0	5.09999990	0.20000000	0.00000000	16384	32768	0	5.09999990	0.20000000	0.00000000	16384	32768	0	5.09999990	0.20000000	0.00000000	16384	32768	0	5.09999990	0.20000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Ffighter_hero_cap_m000_a	5.00000000	-0.55000001	0.00000000	16384	32768	0	5.00000000	-0.40000001	0.00000000	16384	32768	0	5.00000000	-0.25000000	0.00000000	16384	32768	0	5.00000000	-0.30000001	0.00000000	16384	32768	0	5.00000000	0.20000000	0.00000000	16384	32768	0	5.00000000	-0.40000001	0.00000000	16384	32768	0	5.00000000	0.20000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Mfighter_hero_cap_m000_a	4.69999981	-0.60000002	0.00000000	16384	32768	0	4.69999981	-0.20000000	0.00000000	16384	32768	0	4.69999981	-0.60000002	0.00000000	16384	32768	0	4.69999981	-0.10000000	0.00000000	16384	32768	0	4.69999981	-0.37000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Fdarkelf_hero_cap_m000_a	4.09999990	-0.10000000	0.00000000	16384	32768	0	4.09999990	-0.40000001	0.00000000	16384	32768	0	4.09999990	-0.30000001	0.00000000	16384	32768	0	4.09999990	-0.30000001	0.00000000	16384	32768	0	4.09999990	-0.30000001	0.00000000	16384	32768	0	4.09999990	-0.30000001	0.00000000	16384	32768	0	4.09999990	0.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Mdarkelf_hero_cap_m000_a	4.80000019	-0.15000001	0.00000000	16384	32768	0	4.80000019	-0.15000001	0.00000000	16384	32768	0	4.80000019	-0.15000001	0.00000000	16384	32768	0	4.80000019	-0.60000002	0.00000000	16384	32768	0	4.80000019	-0.30000001	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Mmagic_hero_cap_m000_a	5.00000000	-0.30000001	0.00000000	16384	32768	0	5.00000000	0.00000000	0.00000000	16384	32768	0	5.00000000	-0.30000001	0.00000000	16384	32768	0	5.00000000	0.00000000	0.00000000	16384	32768	0	5.00000000	-0.15000001	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Fmagic_hero_cap_m000_a	4.19999981	-0.20000000	0.00000000	16384	32768	0	4.19999981	0.00000000	0.00000000	16384	32768	0	4.19999981	-0.40000001	0.00000000	16384	32768	0	4.19999981	-0.41999999	0.00000000	16384	32768	0	4.19999981	-0.44999999	0.00000000	16384	32768	0	4.19999981	-0.20000000	0.00000000	16384	32768	0	4.19999981	-0.20000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Fdwarf_cat_ear_m000_a	3.70000005	-0.40000001	0.00000000	16384	32768	0	3.70000005	-0.40000001	0.00000000	16384	32768	0	3.70000005	-0.40000001	0.00000000	16384	32768	0	3.70000005	-0.40000001	0.00000000	16384	32768	0	3.70000005	-0.40000001	0.00000000	16384	32768	0	3.70000005	-0.40000001	0.00000000	16384	32768	0	3.70000005	-0.40000001	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Mdwarf_cat_ear_m000_a	5.50000000	0.30000001	0.00000000	16384	32768	0	5.50000000	0.60000002	0.00000000	16384	32768	0	5.50000000	0.00000000	0.00000000	16384	32768	0	6.00000000	0.69999999	0.00000000	16384	32768	0	5.50000000	0.30000001	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Felf_cat_ear_m000_a	4.00000000	0.00000000	0.00000000	16384	32768	0	4.00000000	0.00000000	0.00000000	16384	32768	0	4.00000000	0.00000000	0.00000000	16384	32768	0	4.00000000	0.00000000	0.00000000	16384	32768	0	4.00000000	0.00000000	0.00000000	16384	32768	0	4.00000000	0.00000000	0.00000000	16384	32768	0	4.00000000	0.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Melf_cat_ear_m000_a	4.17999983	-1.00000000	0.00000000	16384	32768	0	4.17999983	-1.00000000	0.00000000	16384	32768	0	4.17999983	-1.00000000	0.00000000	16384	32768	0	4.17999983	-1.00000000	0.00000000	16384	32768	0	4.17999983	-1.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Morc_cat_ear_m000_a	4.50000000	0.00000000	0.00000000	16384	32768	0	3.70000005	0.00000000	0.00000000	16384	32768	0	4.00000000	0.00000000	0.00000000	16384	32768	0	4.00000000	0.00000000	0.00000000	16384	32768	0	3.70000005	0.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Forc_cat_ear_m000_a	4.00000000	-0.34999999	0.00000000	16384	32768	0	4.00000000	-0.34999999	0.00000000	16384	32768	0	4.00000000	-0.34999999	0.00000000	16384	32768	0	3.90000010	-0.30000001	0.00000000	16384	32768	0	4.09999990	-0.20000000	0.00000000	16384	32768	0	4.09999990	-0.25000000	0.00000000	16384	32768	0	4.09999990	-0.34999999	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Mshaman_cat_ear_m000_a	5.30000019	0.00000000	0.00000000	16384	32768	0	5.30000019	0.00000000	0.00000000	16384	32768	0	5.00000000	0.00000000	0.00000000	16384	32768	0	5.00000000	0.00000000	0.00000000	16384	32768	0	5.30000019	0.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Fshaman_cat_ear_m000_a	3.79999995	-0.50000000	0.00000000	16384	32768	0	3.59999990	-0.60000002	0.00000000	16384	32768	0	3.70000005	-0.60000002	0.00000000	16384	32768	0	3.70000005	-0.60000002	0.00000000	16384	32768	0	3.70000005	-0.40000001	0.00000000	16384	32768	0	3.70000005	-0.50000000	0.00000000	16384	32768	0	3.59999990	-0.60000002	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Ffighter_cat_ear_m000_a	4.30000019	0.00000000	0.00000000	16384	32768	0	4.30000019	0.00000000	0.00000000	16384	32768	0	4.30000019	0.00000000	0.00000000	16384	32768	0	4.30000019	0.00000000	0.00000000	16384	32768	0	4.50000000	0.00000000	0.00000000	16384	32768	0	4.30000019	0.00000000	0.00000000	16384	32768	0	4.19999981	0.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Mfighter_cat_ear_m000_a	4.00000000	-1.10000002	0.00000000	16384	32768	0	3.90000010	-0.89999998	0.00000000	16384	32768	0	4.19999981	-1.00000000	0.00000000	16384	32768	0	3.79999995	-0.60000002	0.00000000	16384	32000	0	3.79999995	-0.80000001	0.00000000	16384	32000	0	0.00000000	0.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
