id	UNK_0	message	group	rgba[0]	rgba[1]	rgba[2]	rgba[3]	item_sound	sys_msg_ref	UNK_1[0]	UNK_1[1]	UNK_1[2]	UNK_1[3]	UNK_1[4]	sub_msg	type
15	1	a,You are in siege.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
16	1	a,You are not in siege.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
17	1	a,The castle siege has begun.\0	0	79	9B	B0	FF	a,ItemSound3.sys_siege_start\0	a,17\0	0	0	0	0	0	a,	a,none\0
18	1	a,The castle siege has ended.\0	0	79	9B	B0	FF	a,	a,18\0	0	0	0	0	0	a,	a,none\0
19	1	a,There is a new Lord of the castle!\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
20	1	a,The gate is being opened.\0	0	79	9B	B0	FF	a,	a,	8	0	3	11	0	a,The gate is opening.\0	a,none\0
21	1	a,The gate is being destroyed.\0	0	79	9B	B0	FF	a,	a,	8	0	3	11	0	a,The gate is being destroyed.\0	a,none\0
22	1	a,Your target is out of range.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
23	1	a,Not enough HP.\0	0	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
24	1	a,Not enough MP.\0	0	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
25	1	a,Rejuvenating HP.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
26	1	a,Rejuvenating MP.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
27	1	a,Your casting has been interrupted.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
28	1	a,You have obtained $s1 adena.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
29	1	a,You have obtained $s2 $s1.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
30	1	a,You have obtained $s1.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
31	1	a,You cannot move while sitting.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
32	1	a,You are unable to engage in combat. Please go to the nearest restart point.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
33	1	a,You cannot move while casting.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
34	1	a,Welcome to the World of Lineage II.\0	2	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,server\0
35	1	a,You hit for $s1 damage.\0	3	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,damage\0
36	1	a,$s1 hit you for $s2 damage.\0	3	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,damage\0
37	1	a,$s1 hit you for $s2 damage.\0	3	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,damage\0
38	1	a,The TGS2002 event begins!\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
39	1	a,The TGS2002 event is over. Thank you very much.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
40	1	a,This is the TGS demo: the character will immediately be restored.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
41	1	u,You carefully nock an arrow…\0	1	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
42	1	a,You have avoided $s1's attack.\0	1	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
43	1	a,You have missed.\0	1	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
44	1	a,Critical hit!\0	1	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
45	1	a,You have earned $s1 experience.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
46	1	a,You use $s1.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
47	1	a,You begin to use a(n) $s1.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
48	1	a,$s1 is not available at this time: being prepared for reuse.\0	0	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
49	1	a,You have equipped your $s1.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
50	1	a,Your target cannot be found.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
51	1	a,You cannot use this on yourself.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
52	1	a,You have earned $s1 adena.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
53	1	a,You have earned $s2 $s1(s).\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
54	1	a,You have earned $s1.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
55	1	a,You have failed to pick up $s1 adena.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
56	1	a,You have failed to pick up $s1.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
57	1	a,You have failed to pick up $s2 $s1(s).\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
58	1	a,You have failed to earn $s1 adena.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
59	1	a,You have failed to earn $s1.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
60	1	a,You have failed to earn $s2 $s1(s).\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
61	1	a,Nothing happened.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
62	1	a,Your $s1 has been successfully enchanted.\0	0	0	FF	FF	FF	a,ItemSound3.sys_enchant_success\0	a,	0	0	0	0	0	a,	a,none\0
63	1	a,Your +$S1 $S2 has been successfully enchanted.\0	0	0	FF	FF	FF	a,ItemSound3.sys_enchant_success\0	a,	0	0	0	0	0	a,	a,none\0
64	1	a,The enchantment has failed!  Your $s1 has been crystallized.\0	0	79	9B	B0	FF	a,ItemSound3.sys_enchant_failed\0	a,	0	0	0	0	0	a,	a,none\0
65	1	a,The enchantment has failed!  Your +$s1 $s2 has been crystallized.\0	0	79	9B	B0	FF	a,ItemSound3.sys_enchant_failed\0	a,	0	0	0	0	0	a,	a,none\0
66	1	a,$s1 has invited you to his/her party. Do you accept the invitation?\0	4	79	9B	B0	FF	a,ItemSound3.sys_party_invite\0	a,	0	0	0	0	0	a,	a,popup\0
67	1	a,$s1 has invited you to the join the clan, $s2. Do you wish to join?\0	4	79	9B	B0	FF	a,ItemSound3.sys_party_invite\0	a,	0	0	0	0	0	a,	a,popup\0
68	1	a,Would you like to withdraw from the $s1 clan? If you leave, you will have to wait at least a day before joining another clan.\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
69	1	a,Would you like to dismiss $s1 from the clan? If you do so, you will have to wait at least a day before accepting a new member.\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
70	1	a,Do you wish to disperse the clan, $s1?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
71	1	a,How many of your $s1(s) do you wish to discard?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
72	1	a,How many of your $s1(s) do you wish to move?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
73	1	a,How many of your $s1(s) do you wish to destroy?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
74	1	a,Do you wish to destroy your $s1?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
75	1	a,ID does not exist.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
76	1	a,Incorrect password.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
77	1	a,You cannot create another character. Please delete the existing character and try again.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
78	1	a,Do you wish to delete $s1?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
79	1	a,This name already exists.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
80	1	a,Names must be between 1-16 characters, excluding spaces or special characters.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
81	1	a,Please select your race.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
82	1	a,Please select your occupation.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
83	1	a,Please select your gender.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
84	1	a,You may not attack in a peaceful zone.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
85	1	a,You may not attack this target in a peaceful zone.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
86	1	a,Please enter your ID.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
87	1	a,Please enter your password.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
88	1	a,Your protocol version is different, please restart your client and run a full check.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
89	1	a,Your protocol version is different, please continue.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
90	1	a,You are unable to connect to the server.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
91	1	a,Please select your hairstyle.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
92	1	a,$s1 has worn off.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
93	1	a,You do not have enough SP for this.\0	0	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
94	1	a,2002 - 2007 Copyright NCsoft Corporation. All Rights Reserved.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
95	1	a,You have earned $s1 experience and $s2 SP.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
96	1	a,Your level has increased!\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
97	1	a,This item cannot be moved.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
98	1	a,This item cannot be discarded.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
99	1	a,This item cannot be traded or sold.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
100	1	a,$s1 has requested a trade. Do you wish to continue?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
101	1	a,You cannot exit while in combat.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
102	1	a,You cannot restart while in combat.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
103	1	a,This ID is currently logged in.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
104	1	a,You may not equip items while casting or performing a skill.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
105	1	a,You have invited $s1 to your party.\0	0	79	9B	B0	FF	a,ItemSound3.sys_party_join\0	a,	0	0	0	0	0	a,	a,none\0
106	1	a,You have joined $s1's party.\0	0	79	9B	B0	FF	a,ItemSound3.sys_party_join\0	a,	0	0	0	0	0	a,	a,none\0
107	1	a,$s1 has joined the party.\0	0	79	9B	B0	FF	a,ItemSound3.sys_party_join\0	a,	0	0	0	0	0	a,	a,none\0
108	1	a,$s1 has left the party.\0	0	79	9B	B0	FF	a,ItemSound3.sys_party_leave\0	a,	0	0	0	0	0	a,	a,none\0
109	1	a,Invalid target.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
110	1	a,The effects of $s1 flow through you.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
111	1	a,Your shield defense has succeeded.\0	1	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
112	1	a,You have run out of arrows.\0	0	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
113	1	a,$s1 cannot be used due to unsuitable terms.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
114	1	a,You have entered the shadow of the Mother Tree.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
115	1	a,You have left the shadow of the Mother Tree.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
116	1	a,You have entered a peaceful zone.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
117	1	a,You have left the peaceful zone.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
118	1	a,You have requested a trade with $s1.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
119	1	a,$s1 has denied your request to trade.\0	0	79	9B	B0	FF	a,ItemSound3.sys_denial\0	a,	0	0	0	0	0	a,	a,none\0
120	1	a,You begin trading with $s1.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
121	1	a,$s1 has confirmed the trade.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
122	1	a,You may no longer adjust items in the trade because the trade has been confirmed.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
123	1	a,Your trade is successful.\0	0	79	9B	B0	FF	a,ItemSound3.sys_exchange_success\0	a,	0	0	0	0	0	a,	a,none\0
124	1	a,$s1 has canceled the trade.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
125	1	a,Do you wish to exit the game?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
126	1	a,Do you wish to exit to the character select screen?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
127	1	a,You have been disconnected from the server. Please login again.\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
128	1	a,Your character creation has failed.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
129	1	a,Your inventory is full.\0	0	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
130	1	a,Your warehouse is full.\0	4	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,popup\0
131	1	a,$s1 has logged in.\0	0	79	9B	B0	FF	a,ItemSound3.sys_friend_login\0	a,	0	0	0	0	0	a,	a,none\0
132	1	a,$s1 has been added to your friends list.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
133	1	a,$s1 has been removed from your friends list.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
134	1	a,Please check your friends list again.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
135	1	a,$s1 did not reply to your invitation; your invite has been canceled.\0	0	79	9B	B0	FF	a,ItemSound3.sys_denial\0	a,	0	0	0	0	0	a,	a,none\0
136	1	a,You have not replied to $s1's invitation; the offer has been canceled.\0	0	79	9B	B0	FF	a,ItemSound3.sys_denial\0	a,	0	0	0	0	0	a,	a,none\0
137	1	a,There are no more items in the shortcut.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
138	1	a,Designate shortcut.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
139	1	a,$s1 has resisted your $s2.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
140	1	a,Your skill was removed due to a lack of MP.\0	0	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
141	1	a,Once the trade is confirmed, the item cannot be moved again.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
142	1	a,You are already trading with someone.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
143	1	a,$s1 is already trading with another person. Please try again later.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
144	1	a,That is the incorrect target.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
145	1	a,That player is not online.\0	0	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
146	1	a,Chatting is now permitted.\0	4	79	9B	B0	FF	a,ItemSound3.sys_chat_permission\0	a,146\0	0	0	0	0	0	a,	a,popup\0
147	1	a,Chatting is currently prohibited.\0	4	79	9B	B0	FF	a,ItemSound3.sys_chat_prohibition\0	a,147\0	0	0	0	0	0	a,	a,popup\0
148	1	a,You cannot use quest items.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
149	1	a,You cannot pick up or use items while trading.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
150	1	a,You cannot discard or destroy an item while trading at a private store.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
151	1	a,That is too far from you to discard.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
152	1	a,You have invited the wrong target.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
153	1	a,$s1 is busy. Please try again later.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
154	1	a,Only the leader can give out invitations.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
155	1	a,The party is full.\0	0	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
156	1	a,Drain was only 50 percent successful.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
157	1	a,You resisted $s1's drain.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
158	1	a,Your attack has failed.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
159	1	a,You have resisted $s1's magic.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
160	1	a,$s1 is a member of another party and cannot be invited.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
161	1	a,That player is not currently online.\0	0	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
162	1	a,Warehouse is too far.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
163	1	a,You cannot destroy it because the number is incorrect.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
164	1	a,Waiting for another reply.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
165	1	a,You cannot add yourself to your own friend list.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
166	1	a,Friend list is not ready yet. Please register again later.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
167	1	a,$s1 is already on your friend list.\0	0	79	9B	B0	FF	a,ItemSound3.sys_failed\0	a,	0	0	0	0	0	a,	a,none\0
168	1	a,$s1 has requested to become friends.\0	0	79	9B	B0	FF	a,ItemSound3.sys_friend_invite\0	a,	0	0	0	0	0	a,	a,none\0
169	1	a,Accept friendship 0/1 (1 to accept, 0 to deny)\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
170	1	a,The user who requested to become friends is not found in the game.\0	0	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
171	1	a,$s1 is not on your friend list.\0	0	79	9B	B0	FF	a,ItemSound3.sys_failed\0	a,	0	0	0	0	0	a,	a,none\0
172	1	a,You lack the funds needed to pay for this transaction.\0	4	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,popup\0
173	1	a,You lack the funds needed to pay for this transaction.\0	4	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,popup\0
174	1	a,That person's inventory is full.\0	4	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,popup\0
175	1	a,That skill has been de-activated as HP was fully recovered.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
176	1	a,That person is in message refusal mode.\0	0	79	9B	B0	FF	a,ItemSound3.sys_denial\0	a,	0	0	0	0	0	a,	a,none\0
177	1	a,Message refusal mode.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
178	1	a,Message acceptance mode.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
179	1	a,You cannot discard those items here.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
180	1	a,You have $s1 day(s) left until deletion.  Do you wish to cancel this action?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
181	1	a,Cannot see target.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
182	1	a,Do you want to quit the current quest?\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
183	1	a,There are too many users on the server. Please try again later.\0	2	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,server\0
184	1	a,Please try again later.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
185	1	a,You must first select a user to invite to your party.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
186	1	a,You must first select a user to invite to your clan.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
187	1	a,Select user to expel.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
188	1	a,Please create your clan name.\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
189	1	a,Your clan has been created.\0	0	79	9B	B0	FF	a,ItemSound3.sys_pledge_join\0	a,	0	0	0	0	0	a,	a,none\0
190	1	a,You have failed to create a clan.\0	0	79	9B	B0	FF	a,ItemSound3.sys_failed\0	a,	0	0	0	0	0	a,	a,none\0
191	1	a,Clan member $s1 has been expelled.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
192	1	a,You have failed to expel $s1 from the clan.\0	0	79	9B	B0	FF	a,ItemSound3.sys_failed\0	a,	0	0	0	0	0	a,	a,none\0
193	1	a,Clan has dispersed.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
194	1	a,You have failed to disperse the clan.\0	0	79	9B	B0	FF	a,ItemSound3.sys_failed\0	a,	0	0	0	0	0	a,	a,none\0
195	1	a,Entered the clan.\0	0	79	9B	B0	FF	a,ItemSound3.sys_pledge_join\0	a,	0	0	0	0	0	a,	a,none\0
196	1	a,$s1 declined your clan invitation.\0	0	79	9B	B0	FF	a,ItemSound3.sys_denial\0	a,	0	0	0	0	0	a,	a,none\0
197	1	a,You have withdrawn from the clan.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
198	1	a,You have failed to withdraw from the $s1 clan.\0	0	79	9B	B0	FF	a,ItemSound3.sys_failed\0	a,	0	0	0	0	0	a,	a,none\0
199	1	a,You have recently been dismissed from a clan.  You are not allowed to join another clan for 24-hours.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
200	1	a,You have withdrawn from the party.\0	0	79	9B	B0	FF	a,ItemSound3.sys_party_leave\0	a,	0	0	0	0	0	a,	a,none\0
201	1	a,$s1 was expelled from the party.\0	0	79	9B	B0	FF	a,ItemSound3.sys_party_leave\0	a,	0	0	0	0	0	a,	a,none\0
202	1	a,You have been expelled from the party.\0	0	79	9B	B0	FF	a,ItemSound3.sys_party_leave\0	a,	0	0	0	0	0	a,	a,none\0
203	1	a,The party has dispersed.\0	0	79	9B	B0	FF	a,ItemSound3.sys_party_leave\0	a,	0	0	0	0	0	a,	a,none\0
204	1	a,Incorrect name. Please try again.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
