int1	int2	int3	int4	int5	effect	attribute
4	1	0	15	5	LineageEffect.w_vari_b4_005_a	a,Augmented\0
4	1	0	15	6	LineageEffect.w_vari_b4_006_a	a,Augmented\0
4	1	0	15	7	LineageEffect.w_vari_b4_007_a	a,Augmented\0
4	1	0	15	8	LineageEffect.w_vari_b4_008_a	a,Augmented\0
4	1	16	50	0	LineageEffect.w_vari_r4_000_a	a,Augmented\0
4	1	16	50	1	LineageEffect.w_vari_r4_001_a	a,Augmented\0
4	1	16	50	2	LineageEffect.w_vari_r4_002_a	a,Augmented\0
4	1	16	50	3	LineageEffect.w_vari_r4_003_a	a,Augmented\0
4	1	16	50	4	LineageEffect.w_vari_r4_004_a	a,Augmented\0
4	1	16	50	5	LineageEffect.w_vari_r4_005_a	a,Augmented\0
4	1	16	50	6	LineageEffect.w_vari_r4_006_a	a,Augmented\0
4	1	16	50	7	LineageEffect.w_vari_r4_007_a	a,Augmented\0
4	1	16	50	8	LineageEffect.w_vari_r4_008_a	a,Augmented\0
4	2	0	15	0	LineageEffect.w_vari_b4_000_a	a,Augmented\0
4	2	0	15	1	LineageEffect.w_vari_b4_001_a	a,Augmented\0
4	2	0	15	2	LineageEffect.w_vari_b4_002_a	a,Augmented\0
4	2	0	15	3	LineageEffect.w_vari_b4_003_a	a,Augmented\0
4	2	0	15	4	LineageEffect.w_vari_b4_004_a	a,Augmented\0
4	2	0	15	5	LineageEffect.w_vari_b4_005_a	a,Augmented\0
4	2	0	15	6	LineageEffect.w_vari_b4_006_a	a,Augmented\0
4	2	0	15	7	LineageEffect.w_vari_b4_007_a	a,Augmented\0
4	2	0	15	8	LineageEffect.w_vari_b4_008_a	a,Augmented\0
4	2	16	50	0	LineageEffect.w_vari_r4_000_a	a,Augmented\0
4	2	16	50	1	LineageEffect.w_vari_r4_001_a	a,Augmented\0
4	2	16	50	2	LineageEffect.w_vari_r4_002_a	a,Augmented\0
4	2	16	50	3	LineageEffect.w_vari_r4_003_a	a,Augmented\0
4	2	16	50	4	LineageEffect.w_vari_r4_004_a	a,Augmented\0
4	2	16	50	5	LineageEffect.w_vari_r4_005_a	a,Augmented\0
4	2	16	50	6	LineageEffect.w_vari_r4_006_a	a,Augmented\0
4	2	16	50	7	LineageEffect.w_vari_r4_007_a	a,Augmented\0
4	2	16	50	8	LineageEffect.w_vari_r4_008_a	a,Augmented\0
4	3	0	15	0	LineageEffect.w_vari_b4_000_a	a,Augmented\0
4	3	0	15	1	LineageEffect.w_vari_b4_001_a	a,Augmented\0
4	3	0	15	2	LineageEffect.w_vari_b4_002_a	a,Augmented\0
4	3	0	15	3	LineageEffect.w_vari_b4_003_a	a,Augmented\0
4	3	0	15	4	LineageEffect.w_vari_b4_004_a	a,Augmented\0
4	3	0	15	5	LineageEffect.w_vari_b4_005_a	a,Augmented\0
4	3	0	15	6	LineageEffect.w_vari_b4_006_a	a,Augmented\0
4	3	0	15	7	LineageEffect.w_vari_b4_007_a	a,Augmented\0
4	3	0	15	8	LineageEffect.w_vari_b4_008_a	a,Augmented\0
4	3	16	50	0	LineageEffect.w_vari_r4_000_a	a,Augmented\0
4	3	16	50	1	LineageEffect.w_vari_r4_001_a	a,Augmented\0
4	3	16	50	2	LineageEffect.w_vari_r4_002_a	a,Augmented\0
4	3	16	50	3	LineageEffect.w_vari_r4_003_a	a,Augmented\0
4	3	16	50	4	LineageEffect.w_vari_r4_004_a	a,Augmented\0
4	3	16	50	5	LineageEffect.w_vari_r4_005_a	a,Augmented\0
4	3	16	50	6	LineageEffect.w_vari_r4_006_a	a,Augmented\0
4	3	16	50	7	LineageEffect.w_vari_r4_007_a	a,Augmented\0
4	3	16	50	8	LineageEffect.w_vari_r4_008_a	a,Augmented\0
4	4	0	15	0	LineageEffect.w_vari_b4_000_a	a,Augmented\0
4	4	0	15	1	LineageEffect.w_vari_b4_001_a	a,Augmented\0
4	4	0	15	2	LineageEffect.w_vari_b4_002_a	a,Augmented\0
4	4	0	15	3	LineageEffect.w_vari_b4_003_a	a,Augmented\0
4	4	0	15	4	LineageEffect.w_vari_b4_004_a	a,Augmented\0
4	4	0	15	5	LineageEffect.w_vari_b4_005_a	a,Augmented\0
4	4	0	15	6	LineageEffect.w_vari_b4_006_a	a,Augmented\0
4	4	0	15	7	LineageEffect.w_vari_b4_007_a	a,Augmented\0
4	4	0	15	8	LineageEffect.w_vari_b4_008_a	a,Augmented\0
4	4	16	50	0	LineageEffect.w_vari_r4_000_a	a,Augmented\0
4	4	16	50	1	LineageEffect.w_vari_r4_001_a	a,Augmented\0
4	4	16	50	2	LineageEffect.w_vari_r4_002_a	a,Augmented\0
4	4	16	50	3	LineageEffect.w_vari_r4_003_a	a,Augmented\0
4	4	16	50	4	LineageEffect.w_vari_r4_004_a	a,Augmented\0
4	4	16	50	5	LineageEffect.w_vari_r4_005_a	a,Augmented\0
4	4	16	50	6	LineageEffect.w_vari_r4_006_a	a,Augmented\0
4	4	16	50	7	LineageEffect.w_vari_r4_007_a	a,Augmented\0
4	4	16	50	8	LineageEffect.w_vari_r4_008_a	a,Augmented\0
