nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name	coords?[0]	coords?[1]	coords?[2]	coords?[3]	coords?[4]	coords?[5]	unk01	map
51	255	21	22	30000.00000000	-30000.00000000	a,Execution Grounds\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
52	253	20	21	30000.00000000	-4407.00000000	a,Cruma Marshlands\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
53	255	20	21	30000.00000000	-30000.00000000	a,Cruma Marshlands\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
54	254	20	21	30000.00000000	-4407.00000000	a,Cruma Tower\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
55	253	20	21	-4408.00000000	-14036.00000000	a,Cruma Tower\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
56	254	20	21	-4408.00000000	-30000.00000000	a,Cruma Tower\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
57	254	21	22	30000.00000000	-30000.00000000	a,Tanor Canyon\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
58	255	20	23	30000.00000000	-30000.00000000	a,Floran Village\0	739	2156	11840	165120	1024	1024	0.05000000	a,map_floran_village\0
59	253	20	23	30000.00000000	-30000.00000000	a,Bee Hive\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
60	255	20	14	-1952.00000000	-3952.00000000	a,Cave of Trials\0	745	765	7400	-124192	1024	1024	0.05000000	a,dungeon_map_dungeon_of_trial\0
61	255	20	13	30000.00000000	-30000.00000000	a,Frozen Waterfalls\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
62	255	18	14	30000.00000000	-30000.00000000	a,Orc Village\0	438	743	-52736	-120832	1024	1024	0.05000000	a,map_orc_village\0
63	254	18	14	30000.00000000	-30000.00000000	a,The Pa'agrio Temple\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
64	254	23	12	30000.00000000	-30000.00000000	a,Dwarven Village\0	1253	401	110144	-187968	1024	1024	0.05000000	a,map_dwarven_village\0
65	255	25	12	4224.00000000	-4810.00000000	a,Mithril Mines\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
66	255	24	12	3424.00000000	-2704.00000000	a,Abandoned Coal Mines\0	1388	453	134800	-182650	1024	1024	0.05000000	a,dungeon_map_abaodoned_mime\0
67	255	23	12	30000.00000000	-30000.00000000	a,Strip Mine\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
68	255	24	20	30000.00000000	-30000.00000000	a,The Forest of Mirrors\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
69	255	25	19	30000.00000000	-30000.00000000	a,The Giant's Cave\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
70	254	25	19	-5172.00000000	-30000.00000000	a,Silent Valley\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
71	255	25	18	30000.00000000	-30000.00000000	a,The Cemetery\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
72	255	24	19	30000.00000000	-30000.00000000	a,Narsell Lake\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
73	253	25	19	30000.00000000	-30000.00000000	a,Forsaken Plains\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
74	255	23	20	30000.00000000	-30000.00000000	a,Hunters Village\0	1260	1706	111104	70016	1024	1024	0.05000000	a,map_hunters_village\0
75	254	25	18	30000.00000000	-30000.00000000	a,The Forbidden Gateway\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
76	254	24	18	30000.00000000	-30000.00000000	a,Aden Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
77	255	24	18	30000.00000000	-30000.00000000	a,Town of Aden\0	1410	1446	139264	16384	1024	1024	0.05000000	a,map_town_of_aden\0
78	254	25	20	30000.00000000	-30000.00000000	a,Anghel Waterfall\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
79	251	23	18	6944.00000000	5952.00000000	a,Tower of Insolence: 10th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
80	251	23	18	7952.00000000	6976.00000000	a,Tower of Insolence: 11th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
81	251	23	18	8960.00000000	7968.00000000	a,Tower of Insolence: 12th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
82	251	23	18	10048.00000000	8976.00000000	a,Tower of Insolence: 13th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
83	251	23	18	12000.00000000	10064.00000000	a,Tower of Insolence: 14th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
84	251	23	18	-3728.00000000	-10000.00000000	a,Tower of Insolence: 1st Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
85	251	23	18	-2192.00000000	-3680.00000000	a,Tower of Insolence: 2nd Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
86	251	23	18	-704.00000000	-2128.00000000	a,Tower of Insolence: 3rd Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
87	251	23	18	784.00000000	-688.00000000	a,Tower of Insolence: 4th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
88	251	23	18	1872.00000000	896.00000000	a,Tower of Insolence: 5th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
89	251	23	18	2912.00000000	1888.00000000	a,Tower of Insolence: 6th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
90	251	23	18	3920.00000000	2928.00000000	a,Tower of Insolence: 7th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
91	251	23	18	4928.00000000	3952.00000000	a,Tower of Insolence: 8th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
92	251	23	18	5936.00000000	4944.00000000	a,Tower of Insolence: 9th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
93	254	24	19	30000.00000000	-30000.00000000	a,Coliseum\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
94	255	25	17	30000.00000000	-4220.00000000	a,Devastated Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
95	255	24	17	30000.00000000	-30000.00000000	a,Blazing Swamp\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
96	254	23	17	30000.00000000	-30000.00000000	a,Ancient Battleground\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
97	253	23	17	30000.00000000	-30000.00000000	a,Eastern Border Outpost\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
98	255	22	17	30000.00000000	-30000.00000000	a,Bandit Stronghold\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
99	255	22	18	30000.00000000	-4632.00000000	a,Ivory Tower\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
100	254	22	19	30000.00000000	-30000.00000000	a,Oren Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
101	255	22	19	30000.00000000	-30000.00000000	a,Town of Oren\0	1086	1595	75136	48768	1024	1024	0.05000000	a,map_town_of_oren\0
102	254	22	20	30000.00000000	-3900.00000000	a,Plains of the Lizardmen\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
103	255	23	19	30000.00000000	-30000.00000000	a,The Enchanted Valley\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
104	255	21	18	30000.00000000	-30000.00000000	a,Sea of Spores\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
105	253	22	19	30000.00000000	-30000.00000000	a,Skyshadow Meadow\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
106	255	19	19	30000.00000000	-30000.00000000	a,Swampland\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
107	255	20	18	30000.00000000	-30000.00000000	a,Dark Elf Village\0	721	1394	768	9344	1024	1024	0.05000000	a,map_dark_elven_village\0
108	254	20	18	30000.00000000	-30000.00000000	a,The Shilen Temple\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
109	255	18	20	30000.00000000	-4000.00000000	a,Altar of Rites\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
110	255	18	19	30000.00000000	-30000.00000000	a,School of Dark Arts\0	444	1572	-57500	39808	1024	1024	0.05000000	a,dungeon_map_black_magic_laboratory\0
111	254	21	19	30000.00000000	-30000.00000000	a,Shadow of the Mother Tree\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
112	255	21	20	30000.00000000	-30000.00000000	a,Iris Lake\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
113	255	21	19	30000.00000000	-30000.00000000	a,Elven Village\0	907	1568	39168	42688	1024	1024	0.05000000	a,map_elven_village\0
114	255	20	20	-3200.00000000	-4416.00000000	a,Elven Fortress\0	794	1687	8320	68086	1024	1024	0.05000000	a,dungeon_map_elven_underground_fortress\0
115	253	21	19	30000.00000000	-30000.00000000	a,Starlight Waterfall\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
116	255	22	23	30000.00000000	-30000.00000000	a,Field of Silence\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
117	255	22	24	30000.00000000	-30000.00000000	a,Field of Whispers\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
118	255	23	24	30000.00000000	-30000.00000000	a,Heine\0	1227	2436	101504	212608	1024	1024	0.05000000	a,map_heine\0
119	255	21	24	30000.00000000	-30000.00000000	a,Devil's Isle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
120	255	23	23	30000.00000000	-30000.00000000	a,Alligator Island\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
121	255	22	25	30000.00000000	-30000.00000000	a,Garden of Eva\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
122	254	23	24	30000.00000000	-30000.00000000	a,Tour Boat Dock\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
123	255	23	25	30000.00000000	-30000.00000000	a,Innadril Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
124	254	21	24	30000.00000000	-30000.00000000	a,Pirate Tunnel\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
125	249	17	21	-3968.00000000	-5056.00000000	a,Oracle of Dawn\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
126	249	17	20	-4224.00000000	-5312.00000000	a,Oracle of Dusk\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
127	249	18	20	-4064.00000000	-4896.00000000	a,Necropolis of Devotion\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
128	249	18	24	-4282.00000000	-5242.00000000	a,Necropolis of Sacrifice\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
129	249	19	18	-4224.00000000	-5056.00000000	a,Catacomb of Dark Omens\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
130	249	19	20	-4496.00000000	-5328.00000000	a,The Patriot's Necropolis\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
131	249	21	21	-4736.00000000	-5568.00000000	a,The Pilgrim's Necropolis\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
132	249	21	22	-4704.00000000	-5536.00000000	a,Catacomb of the Heretic\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
133	249	21	23	-4304.00000000	-5136.00000000	a,Catacomb of the Branded\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
134	249	22	20	-3936.00000000	-5280.00000000	a,Catacomb of the Apostate\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
135	249	22	24	-4762.00000000	-5594.00000000	a,The Saint's Necropolis\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
136	249	23	20	-5352.00000000	-6696.00000000	a,Catacomb of the Forbidden Path\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
137	249	23	22	-4154.00000000	-4986.00000000	a,Necropolis of Martyrdom\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
138	249	23	23	-4762.00000000	-5594.00000000	a,Necropolis of Worship\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
139	249	24	20	-3984.00000000	-5584.00000000	a,Catacomb of the Witch\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
140	249	25	17	-4224.00000000	-5644.00000000	a,The Disciple's Necropolis\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
141	255	16	10	30000.00000000	-30000.00000000	a,GM Consultation Service\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
142	255	18	24	-4282.00000000	-5242.00000000	a,Necropolis of Sacrifice\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
143	253	17	20	-4224.00000000	-5312.00000000	a,Oracle of Dusk\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
144	249	17	20	30000.00000000	-4220.00000000	a,Gludio Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
145	250	17	20	-4224.00000000	-5312.00000000	a,Oracle of Dusk\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
146	250	17	20	30000.00000000	-4220.00000000	a,The Dark Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
147	252	18	22	30000.00000000	-30000.00000000	a,Fellmere Lake\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
148	252	17	22	30000.00000000	-30000.00000000	a,Fellmere Lake\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
149	255	19	24	30000.00000000	-4200.00000000	a,Langk Lizardmen Dwellings\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
150	253	18	24	30000.00000000	-30000.00000000	a,Red Rock Ridge\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
151	253	19	24	30000.00000000	-30000.00000000	a,Red Rock Ridge\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
152	253	18	23	-3760.00000000	-5632.00000000	a,Forgotten Temple\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
153	254	21	23	30000.00000000	-30000.00000000	a,Tanor Canyon\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
154	254	22	22	30000.00000000	-30000.00000000	a,Tanor Canyon\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
155	253	21	23	30000.00000000	-30000.00000000	a,Bee Hive\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
156	254	23	18	30000.00000000	-30000.00000000	a,Ancient Battleground\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
157	249	18	24	30000.00000000	-4200.00000000	a,Red Rock Ridge\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
158	249	22	20	30000.00000000	-3900.00000000	a,Oren Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
159	254	22	20	-3936.00000000	-5280.00000000	a,Catacomb of the Apostate\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
160	249	17	21	30000.00000000	-3950.00000000	a,Gludio Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
161	249	18	20	30000.00000000	-4000.00000000	a,The Dark Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
162	255	18	20	-4064.00000000	-4896.00000000	a,Necropolis of Devotion\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
163	250	18	20	30000.00000000	-4000.00000000	a,Misty Mountains\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
164	250	18	20	-4064.00000000	-4896.00000000	a,Necropolis of Devotion\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
165	250	19	20	-4496.00000000	-5328.00000000	a,The Patriot's Necropolis\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
166	249	19	20	30000.00000000	-4480.00000000	a,The Dark Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
167	250	19	20	30000.00000000	-4480.00000000	a,The Neutral Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
168	249	19	18	30000.00000000	-4220.00000000	a,The Dark Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
169	249	21	21	30000.00000000	-4700.00000000	a,Partisan's Hideaway\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
170	249	21	22	30000.00000000	-4700.00000000	a,Execution Grounds\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
171	249	21	23	30000.00000000	-4300.00000000	a,Giran Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
172	249	22	24	30000.00000000	-4760.00000000	a,Field of Whispers\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
173	249	23	20	30000.00000000	-5350.00000000	a,Hunters Village\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
174	249	23	22	30000.00000000	-4150.00000000	a,Gorgon Flower Garden\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
175	249	23	23	30000.00000000	-4760.00000000	a,Alligator Island\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
176	249	24	20	30000.00000000	-3980.00000000	a,The Forest of Mirrors\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
177	255	25	17	-4224.00000000	-5644.00000000	a,The Disciple's Necropolis\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
178	255	25	21	30000.00000000	-30000.00000000	a,Antharas' Nest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
179	254	19	23	30000.00000000	-4200.00000000	a,Wasteland\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
180	255	20	14	30000.00000000	29999.00000000	a,_Lyonn Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
181	255	20	20	30000.00000000	-3100.00000000	a,Elven Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
182	254	18	23	30000.00000000	-3700.00000000	a,Gludio Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
183	255	24	12	30000.00000000	3430.00000000	a,Schuttgart Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
184	255	25	12	30000.00000000	4250.00000000	a,Schuttgart Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
185	254	25	19	30000.00000000	-5170.00000000	a,The Giant's Cave\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
186	254	19	19	30000.00000000	-30000.00000000	a,Undine Waterfall\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
187	254	22	18	30000.00000000	-30000.00000000	a,The Gods' Falls\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
188	249	25	17	30000.00000000	-4220.00000000	a,Fields of Massacre\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
189	244	19	13	30000.00000000	-30000.00000000	a,Immortal Plateau, Northern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
190	244	19	14	30000.00000000	-30000.00000000	a,Immortal Plateau, Northern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
191	244	19	15	30000.00000000	-30000.00000000	a,Immortal Plateau, Northern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
192	244	20	13	30000.00000000	-30000.00000000	a,Immortal Plateau, Northern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
193	244	20	14	30000.00000000	-30000.00000000	a,Immortal Plateau, Northern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
194	245	19	15	30000.00000000	-30000.00000000	a,Immortal Plateau, Southern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
195	245	20	14	30000.00000000	-30000.00000000	a,Immortal Plateau, Southern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
196	245	20	15	30000.00000000	-30000.00000000	a,Immortal Plateau, Southern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
197	243	18	14	30000.00000000	-30000.00000000	a,Valley of Heroes\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
198	243	19	14	30000.00000000	-30000.00000000	a,Valley of Heroes\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
199	243	23	12	30000.00000000	-30000.00000000	a,Frozen Valley\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
200	244	23	11	30000.00000000	-30000.00000000	a,Western Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
201	244	23	12	30000.00000000	-30000.00000000	a,Western Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
202	244	24	11	30000.00000000	-30000.00000000	a,Western Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
203	244	24	12	30000.00000000	-30000.00000000	a,Western Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
204	245	24	11	30000.00000000	-30000.00000000	a,Eastern Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
205	245	24	12	30000.00000000	-30000.00000000	a,Eastern Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
206	245	25	11	30000.00000000	-30000.00000000	a,Eastern Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
207	245	25	12	30000.00000000	-30000.00000000	a,Eastern Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
208	244	23	24	30000.00000000	-30000.00000000	a,Alligator Beach\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
209	244	24	18	30000.00000000	-30000.00000000	a,Plains of Glory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
210	243	24	17	30000.00000000	-30000.00000000	a,Fields of Massacre\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
211	243	25	17	30000.00000000	-30000.00000000	a,Fields of Massacre\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
212	245	24	18	30000.00000000	-30000.00000000	a,War-Torn Plains\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
