id	name	add_name	description	popup	set_ids	set_bonus_desc	set_extra_id	set_extra_desc	unk[0]	unk[1]	special_enchant_amount	special_enchant_desc
730	Scroll: Enchant Armor (Grade A)		a,Increases the P. Def. of an A-Grade armor or accessory by 1, and from +4, the P. Def will increase by 3. It can be safely enchanted up to +3. One-piece type armor can be safely enchanted up to +4.\0	-1	a,	a,	a,	a,	0	0	0	a,
731	Crystal Scroll: Enchant Weapon (Grade A)		a,A scroll of enchantment that empowers an A-Grade weapon.\0	-1	a,	a,	a,	a,	0	0	0	a,
732	Crystal Scroll: Enchant Armor (Grade A)		a,A scroll of enchantment that empowers an A-Grade armor.\0	-1	a,	a,	a,	a,	0	0	0	a,
733	Endeavor Potion		a,A magical, liquid medicine that increases willpower.\0	-1	a,	a,	a,	a,	0	0	0	a,
734	Haste Potion		a,A magical potion that increases movement speed\0	-1	a,	a,	a,	a,	0	0	0	a,
735	Potion of Alacrity		a,A magical potion that increases attack speed\0	-1	a,	a,	a,	a,	0	0	0	a,
736	Scroll of Escape		a,A scroll of enchantment that relocates you to the nearest village.\0	-1	a,	a,	a,	a,	0	0	0	a,
737	Scroll of Resurrection		a,A scroll of enchantment that resuscitates a dead person.\0	-1	a,	a,	a,	a,	0	0	0	a,
739	Broken Sword Handle		a,The handle portion of the sword of solidarity. Take this to Blacksmith Alltran.\0	-1	a,	a,	a,	a,	0	0	0	a,
740	Broken Blade Bottom		a,Take this, and the upper portion of the blade to Blacksmith Alltran.\0	-1	a,	a,	a,	a,	0	0	0	a,
741	Broken Blade Top		a,Take this, and the lower portion of the blade to Blacksmith Alltran.\0	-1	a,	a,	a,	a,	0	0	0	a,
742	Altran's Note		a,A letter requesting the handle of the sword from Roien. Take this to Grand Master Roien of Cedric's Training Hall.\0	-1	a,	a,	a,	a,	0	0	0	a,
745	Cobendell Medicine		a,	-1	a,	a,	a,	a,	0	0	0	a,
746	Alberius's List		a,Deliver the medicine to Sentinel Berros, Sentinel Veltress, Sentinel Rayen, and Sentinel Gartrandell.\0	-1	a,	a,	a,	a,	0	0	0	a,
750	Kinship Crystal		a,	-1	a,	a,	a,	a,	0	0	0	a,
751	Cracked Kinship Crystal		a,	-1	a,	a,	a,	a,	0	0	0	a,
752	Orc Amulet		a,An amulet that the Orcs carry for magical purposes. Take this to Captain Gilbert.\0	-1	a,	a,	a,	a,	0	0	0	a,
753	Silverleaf Brooch		a,	-1	a,	a,	a,	a,	0	0	0	a,
755	Colleen's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
756	Mandragora Root		a,	-1	a,	a,	a,	a,	0	0	0	a,
757	Mandragora Essence		a,	-1	a,	a,	a,	a,	0	0	0	a,
758	Colleen's Receipt		a,	-1	a,	a,	a,	a,	0	0	0	a,
759	Etched Rune Sword		a,	-1	a,	a,	a,	a,	0	0	0	a,
760	Macabre Sword		a,	-1	a,	a,	a,	a,	0	0	0	a,
761	Thanatos Sword		a,	-1	a,	a,	a,	a,	0	0	0	a,
762	Gray Bone Chip		a,	-1	a,	a,	a,	a,	0	0	0	a,
763	Esther's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
764	Arbon's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
765	Conspirator List		a,	-1	a,	a,	a,	a,	0	0	0	a,
766	Sabrin's Signet		a,	-1	a,	a,	a,	a,	0	0	0	a,
767	Sealed Scroll		a,	-1	a,	a,	a,	a,	0	0	0	a,
768	Oyen's Key		a,	-1	a,	a,	a,	a,	0	0	0	a,
769	Ricardo's Skull		a,	-1	a,	a,	a,	a,	0	0	0	a,
770	Shield of Honor		a,	-1	a,	a,	a,	a,	0	0	0	a,
771	Saythus's Skull		a,	-1	a,	a,	a,	a,	0	0	0	a,
772	Trayer's Skull		a,	-1	a,	a,	a,	a,	0	0	0	a,
773	Falimar's Skull		a,	-1	a,	a,	a,	a,	0	0	0	a,
774	Fallen Sword of Honor		a,	-1	a,	a,	a,	a,	0	0	0	a,
775	Sword of Honor		a,	-1	a,	a,	a,	a,	0	0	0	a,
776	Nameless Sword		a,	-1	a,	a,	a,	a,	0	0	0	a,
777	Sword of Black Ice		a,	-1	a,	a,	a,	a,	0	0	0	a,
778	Arodin's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
779	Sabrin's Ring		a,	-1	a,	a,	a,	a,	0	0	0	a,
780	Arbon's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
781	Madclaw's Necklace		a,	-1	a,	a,	a,	a,	0	0	0	a,
782	Alex's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
783	Alex's Receipt		a,	-1	a,	a,	a,	a,	0	0	0	a,
784	Glass Dagger		a,	-1	a,	a,	a,	a,	0	0	0	a,
785	Broken Glass Dagger		a,	-1	a,	a,	a,	a,	0	0	0	a,
786	Shadowguard Dagger		a,	-1	a,	a,	a,	a,	0	0	0	a,
787	Coroli's Key		a,	-1	a,	a,	a,	a,	0	0	0	a,
788	Midnight Onyx Necklace		a,	-1	a,	a,	a,	a,	0	0	0	a,
789	Song: Moonlight Whisper		a,	-1	a,	a,	a,	a,	0	0	0	a,
790	Bloodsteel Kris		a,	-1	a,	a,	a,	a,	0	0	0	a,
791	Karlun's Skull		a,	-1	a,	a,	a,	a,	0	0	0	a,
792	Karlun's Rib Bone		a,	-1	a,	a,	a,	a,	0	0	0	a,
793	Karlun's Thigh Bone		a,	-1	a,	a,	a,	a,	0	0	0	a,
794	Saint's Ash Urn		a,	-1	a,	a,	a,	a,	0	0	0	a,
795	Mace of Athebaldt		a,	-1	a,	a,	a,	a,	0	0	0	a,
796	Roien's Letter		a,A letter on which Roien summarized the historical information related to the sword of solidarity. Take this to Blacksmith Alltran.\0	-1	a,	a,	a,	a,	0	0	0	a,
797	Manuel's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
798	Varan's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
799	Groot's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
800	Tome of Nassen		a,	-1	a,	a,	a,	a,	0	0	0	a,
801	Cursed Tome of Nassen		a,	-1	a,	a,	a,	a,	0	0	0	a,
802	Bloodthirsty Dagger		a,	-1	a,	a,	a,	a,	0	0	0	a,
803	Bloody Dagger		a,	-1	a,	a,	a,	a,	0	0	0	a,
804	Staff of Shane		a,	-1	a,	a,	a,	a,	0	0	0	a,
805	Pinter's Bill		a,	-1	a,	a,	a,	a,	0	0	0	a,
806	Drake's Claw		a,	-1	a,	a,	a,	a,	0	0	0	a,
807	Flawless Drake's Claw		a,	-1	a,	a,	a,	a,	0	0	0	a,
808	Pushkin's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
809	Bone Fragment		a,Bone fragments obtained from the undead skeletons. Collect ten of these and take to Tetrarch Kaitar.\0	-1	a,	a,	a,	a,	0	0	0	a,
810	Altran's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
811	Oil Paper		a,	-1	a,	a,	a,	a,	0	0	0	a,
812	Adamantium Ore		a,	-1	a,	a,	a,	a,	0	0	0	a,
813	Heart Stone		a,	-1	a,	a,	a,	a,	0	0	0	a,
814	Pushkin's Receipt		a,	-1	a,	a,	a,	a,	0	0	0	a,
815	Leather Strap		a,	-1	a,	a,	a,	a,	0	0	0	a,
816	Widow Maker		a,	-1	a,	a,	a,	a,	0	0	0	a,
817	Mithril Bottle		a,	-1	a,	a,	a,	a,	0	0	0	a,
818	Grace Unicorn's Horn		a,	-1	a,	a,	a,	a,	0	0	0	a,
819	Drake's Bone		a,	-1	a,	a,	a,	a,	0	0	0	a,
820	Zahak Fluids		a,	-1	a,	a,	a,	a,	0	0	0	a,
821	Bone Knife		a,	-1	a,	a,	a,	a,	0	0	0	a,
822	Drake Knife		a,	-1	a,	a,	a,	a,	0	0	0	a,
823	Dull Dagger		a,	-1	a,	a,	a,	a,	0	0	0	a,
824	Siriel's Note		a,	-1	a,	a,	a,	a,	0	0	0	a,
825	Raien's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
826	Silver Spores		a,	-1	a,	a,	a,	a,	0	0	0	a,
827	Star Dust		a,	-1	a,	a,	a,	a,	0	0	0	a,
828	Song of Awakening		a,	-1	a,	a,	a,	a,	0	0	0	a,
829	Spirit Dagger		a,	-1	a,	a,	a,	a,	0	0	0	a,
830	Medallion of Kwyllinas		a,	-1	a,	a,	a,	a,	0	0	0	a,
831	Echo Crystal		a,	-1	a,	a,	a,	a,	0	0	0	a,
832	Green Echo Crystal		a,	-1	a,	a,	a,	a,	0	0	0	a,
833	Red Echo Crystal		a,	-1	a,	a,	a,	a,	0	0	0	a,
834	Aquamarine Echo Crystal		a,	-1	a,	a,	a,	a,	0	0	0	a,
835	Blue Echo Crystal		a,	-1	a,	a,	a,	a,	0	0	0	a,
836	Book of Kwyllinas		a,	-1	a,	a,	a,	a,	0	0	0	a,
837	Fairy Dust		a,	-1	a,	a,	a,	a,	0	0	0	a,
838	Vellior's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
839	Icarus's Letter		a,	-1	a,	a,	a,	a,	0	0	0	a,
840	Drevanul Skull		a,	-1	a,	a,	a,	a,	0	0	0	a,
841	Icarus's Order Form		a,	-1	a,	a,	a,	a,	0	0	0	a,
842	Basilisk Ink		a,	-1	a,	a,	a,	a,	0	0	0	a,
843	Book of Aklantoth		a,	-1	a,	a,	a,	a,	0	0	0	a,
844	Book of Aklantoth P1 ~ P10		a,	-1	a,	a,	a,	a,	0	0	0	a,
937	Directions to Ruins		a,Follow the northwestern path from the village, and head west when you meet the Obelisk of Victory. The entrance to the ruins lies at the slope of the mountain.\0	-1	a,	a,	a,	a,	0	0	0	a,
938	Deck		a,	-1	a,	a,	a,	a,	0	0	0	a,
939	Gara's Quest Item #11		a,	-1	a,	a,	a,	a,	0	0	0	a,
940	Gara's Quest Item #12		a,	-1	a,	a,	a,	a,	0	0	0	a,
941	Gara's Proof of Bravery		a,	-1	a,	a,	a,	a,	0	0	0	a,
942	Gara's Proof of Justice		a,	-1	a,	a,	a,	a,	0	0	0	a,
943	Gara's Proof of Despair		a,	-1	a,	a,	a,	a,	0	0	0	a,
944	Deathknight Skull		a,	-1	a,	a,	a,	a,	0	0	0	a,
947	Scroll: Enchant Weapon (Grade B)		a,When enchanted, the P. Atk. of B-Grade weapons such as one-handed swords and blunt weapons, daggers and spears increases by 3. The P. Atk of two-handed swords and blunt weapons, dualswords, and two-handed fist-fighting weapons increases by 4. The P. Atk. of bow weapons increases by 6. The M. Atk. of all weapons increases by 3. From +4, P. Atk. and M. Atk. bonus will double for all weapon types.  It can be safely enchanted up to +3.\0	-1	a,	a,	a,	a,	0	0	0	a,
948	Scroll: Enchant Armor (Grade B)		a,Increases P. Def. of a B-Grade armor or accessory by 1, and from +4, the P. Def will increase by 3. It can be safely enchanted up to +3. One-piece type armor can be safely enchanted up to +4.\0	-1	a,	a,	a,	a,	0	0	0	a,
949	Crystal Scroll: Enchant Weapon (Grade B)		a,A scroll of enchantment that empowers a B-Grade weapon.\0	-1	a,	a,	a,	a,	0	0	0	a,
950	Crystal Scroll: Enchant Armor (Grade B)		a,A scroll of enchantment that empowers a B-Grade armor.\0	-1	a,	a,	a,	a,	0	0	0	a,
951	Scroll: Enchant Weapon (Grade C)		a,When enchanted, the P. Atk. of C-Grade weapons such as one-handed swords and blunt weapons, daggers and spears increases by 3. The P. Atk of two-handed swords and blunt weapons, dualswords, and two-handed fist-fighting weapons increases by 4. The P. Atk. of bow weapons increases by 6. The M. Atk. of all weapons increases by 3. From +4, P. Atk. and M. Atk. bonus will double for all weapon types.  It can be safely enchanted up to +3.\0	-1	a,	a,	a,	a,	0	0	0	a,
952	Scroll: Enchant Armor (Grade C)		a,Increases P. Def. of a C-Grade armor or accessory by 1, and from +4, the P. Def will increase by 3. It can be safely enchanted up to +3. One-piece type armor can be safely enchanted up to +4.\0	-1	a,	a,	a,	a,	0	0	0	a,
953	Crystal Scroll: Enchant Weapon (Grade C)		a,A scroll of enchantment that empowers a C-Grade weapon.\0	-1	a,	a,	a,	a,	0	0	0	a,
954	Crystal Scroll: Enchant Armor (Grade C)		a,A scroll of enchantment that empowers a C-Grade armor.\0	-1	a,	a,	a,	a,	0	0	0	a,
955	Scroll: Enchant Weapon (Grade D)		a,When enchanted the P. Atk. of all D-Grade weapons will increase by 2 with the exception of bows, which will increase by 4. The M. Atk. of all weapons increases by 2. From +4, P. Atk. and M. Atk. bonus will double for all weapon types.  It can be safely enchanted up to +3.\0	-1	a,	a,	a,	a,	0	0	0	a,
956	Scroll: Enchant Armor (Grade D)		a,Increases P. Def. of a D-Grade armor or accessory by 1, and from +4, the P. Def will increase by 3. It can be safely enchanted up to +3. One-piece type armor can be safely enchanted up to +4.\0	-1	a,	a,	a,	a,	0	0	0	a,
957	Crystal Scroll: Enchant Weapon (Grade D)		a,A scroll of enchantment that empowers a D-Grade weapon.\0	-1	a,	a,	a,	a,	0	0	0	a,
958	Crystal Scroll: Enchant Armor (Grade D)		a,A scroll of enchantment that empowers a D-Grade armor.\0	-1	a,	a,	a,	a,	0	0	0	a,
959	Scroll: Enchant Weapon (Grade S)		a,When enchanted, the P. Atk. of S grade weapons such as one-handed swords and blunt weapons, daggers and spears increases by 5. The P. Atk of two-handed swords and blunt weapons, dualswords, and two-handed fist-fighting weapons increases by 6. The P. Atk. of bow weapons increases by 10. The M. Atk. of all weapons increases by 4. From +4, P. Atk. and M. Atk. bonus will double for all weapon types.  It can be safely enchanted up to +3.\0	-1	a,	a,	a,	a,	0	0	0	a,
960	Scroll: Enchant Armor (Grade S)		a,When enchanted, increases P. Def. of S grade armor or accessory by 1, and from +4, the P. Def increases by 3. It can be safely enchanted up to +3. One-piece armor can be safely enchanted up to +4.\0	-1	a,	a,	a,	a,	0	0	0	a,
961	Crystal Scroll: Enchant Weapon (Grade S)		a,A scroll of enchantment that empowers a S Grade weapon.\0	-1	a,	a,	a,	a,	0	0	0	a,
962	Crystal Scroll: Enchant Armor (Grade S)		a,A scroll of enchantment that empowers a S Grade armor\0	-1	a,	a,	a,	a,	0	0	0	a,
963	Orcish Arrowhead		a,An arrowhead that Turath orc marksmen use on Talking Island. Collect these and take to Master Minia.\0	-1	a,	a,	a,	a,	0	0	0	a,
964	Alberius's Letter		a,A letter from Alberius. Take this to Master Cobendell.\0	-1	a,	a,	a,	a,	0	0	0	a,
965	Evergreen Amulet		a,A necklace set with a green elemental stone. You must possess this to slay the dryad and obtain the dryad's tears.\0	-1	a,	a,	a,	a,	0	0	0	a,
966	Dryad's Tears		a,A jewel that contains the essence of a dryad's soul. Gather ten of these and take them to Master Cobendell.\0	-1	a,	a,	a,	a,	0	0	0	a,
967	Cobendell Medicine		a,Cobendell's medicine\0	-1	a,	a,	a,	a,	0	0	0	a,
968	Karrod's Letter		a,A letter written by Blacksmith Karrod. Take this to the Abyssal Celebrant Cecktinon in the Shilen Temple.\0	-1	a,	a,	a,	a,	0	0	0	a,
969	Cecktinon's First Voucher		a,An introduction letter from the Abyssal Celebrant Cecktinon. Take this and seek Magister Harne in the village.\0	-1	a,	a,	a,	a,	0	0	0	a,
970	Cecktinon's Second Voucher		a,An introduction letter from the Abyssal Celebrant Cecktinon. Go to the School of Dark Arts, hunt skeletons, and gather 10 bone fragments.\0	-1	a,	a,	a,	a,	0	0	0	a,
971	Soul Catcher		a,An item used during the exorcism ritual to call upon a spirit of the dead. Take this to the Abyssal Celebrant Cecktinon.\0	-1	a,	a,	a,	a,	0	0	0	a,
972	Preserving Oil		a,An oil that when used, prevents the rotting of corpses. Take this and go hunt zombies in the swamps.\0	-1	a,	a,	a,	a,	0	0	0	a,
973	Zombie Head		a,The head of tree Elf zombies that have been cut after they are defeated. Take this to the abyssal celebrant Cecktinon.\0	-1	a,	a,	a,	a,	0	0	0	a,
974	Steelbender Head		a,Please, I beg of you!  Don't take me to that brutal blacksmith!\0	-1	a,	a,	a,	a,	0	0	0	a,
976	1st Mark of Sentinel		a,A mark that certifies that its bearer is an Elven Sentinel. Destroy an orc Tanuki skullcrusher and report to Sentinel Kendell.\0	-1	a,	a,	a,	a,	0	0	0	a,
977	2nd Mark of Sentinel		a,A mark that certifies that its bearer is an Elven Sentinel. Destroy an orc Bhato bloodspear and report to Sentinel Kendell.\0	-1	a,	a,	a,	a,	0	0	0	a,
978	Skullcrusher Amulet		a,The amulet that represents the Skullcrusher Orc tribe. Take this to Sentinel Kendell.\0	-1	a,	a,	a,	a,	0	0	0	a,
979	Bloodspear Amulet		a,The amulet that represents the Bloodspear Orc tribe. Take this to Sentinel Kendell.\0	-1	a,	a,	a,	a,	0	0	0	a,
980	0		a,0\0	-1	a,	a,	a,	a,	0	0	0	a,
982	Esrandell's Letter		a,Esrandell's introduction\0	-1	a,	a,	a,	a,	0	0	0	a,
983	Kendell's Letter		a,Kendell's letter\0	-1	a,	a,	a,	a,	0	0	0	a,
984	1st Onyx Talisman		a,A necklace crafted of onyx. Take this to Abyssal Celebrant Kartia.\0	-1	a,	a,	a,	a,	0	0	0	a,
985	2nd Onyx Talisman		a,A necklace crafted of onyx. Recover the original scrolls from the blackskull Orcs and bring them to Abyssal Celebrant Kartia.\0	-1	a,	a,	a,	a,	0	0	0	a,
986	Ancient Scroll		a,An ancient scroll called Kaysha's Revelation. Take it along with the clay tablet to Abyssal Celebrant Kartia.\0	-1	a,	a,	a,	a,	0	0	0	a,
987	Ancient Clay Tablet		a,An ancient clay tablet engraved with text. Take it along with the ancient scroll to Abyssal Celebrant Kartia.\0	-1	a,	a,	a,	a,	0	0	0	a,
988	Kartia's Translation		a,Kartia's translation of Kaysha's Revelations. Take it to Tetrarch Thifiell.\0	-1	a,	a,	a,	a,	0	0	0	a,
1001	Book of Aklantoth - Part 4		a,	-1	a,	a,	a,	a,	0	0	0	a,
1002	Book of Aklantoth - Part 5		a,	-1	a,	a,	a,	a,	0	0	0	a,
1003	Book of Aklantoth - Part 6		a,	-1	a,	a,	a,	a,	0	0	0	a,
1004	Book of Aklantoth - Part 7		a,	-1	a,	a,	a,	a,	0	0	0	a,
1005	Book of Aklantoth - Part 8		a,	-1	a,	a,	a,	a,	0	0	0	a,
1006	Book of Aklantoth - Part 9		a,	-1	a,	a,	a,	a,	0	0	0	a,
1007	Book of Aklantoth - Part 10		a,	-1	a,	a,	a,	a,	0	0	0	a,
1008	Harrys's 1st Receipt		a,A receipt Harrys received after ordering tools. Take this and go to Blacksmith Alltran.\0	-1	a,	a,	a,	a,	0	0	0	a,
1009	Harrys's 2nd Receipt		a,The receipt that Harrys has received after placing an order for his tools. Go and gather golem shards needed for creating the tool.\0	-1	a,	a,	a,	a,	0	0	0	a,
1010	Golem Shard		a,Shards of rock that have fallen from the golem's body. Gather five of these and take them to Blacksmith Alltran.\0	-1	a,	a,	a,	a,	0	0	0	a,
1011	Tool Box		a,A toolbox containing the tools that Blacksmith Alltran has forged. Take this to Magister Harrys at the temple.\0	-1	a,	a,	a,	a,	0	0	0	a,
1012	Delivery List		a,Take the heavy wooden box to Trader Jackson. The bolts of cloth to Trader Silvia. Take the clay pot to the warehouse keeper Rant.\0	-1	a,	a,	a,	a,	0	0	0	a,
1013	Heavy Wood Box		a,The wooden box to be delivered to Trader Jackson of the weapons shop.\0	-1	a,	a,	a,	a,	0	0	0	a,
1014	Cloth Bundle		a,Bolts of cloth that need to be delivered to Trader Silvia of the grocery store.\0	-1	a,	a,	a,	a,	0	0	0	a,
1015	Clay Pot		a,The clay pot that must be delivered to the warehouse keeper Rant.\0	-1	a,	a,	a,	a,	0	0	0	a,
1016	Jackson's Receipt		a,The receipt that Jackson has issued upon receiving his wooden box. Take this to Guard Arnold.\0	-1	a,	a,	a,	a,	0	0	0	a,
1017	Silvia's Receipt		a,The receipt that Silvia has issued upon receiving her bolts of cloth. Take this to Guard Arnold.\0	-1	a,	a,	a,	a,	0	0	0	a,
1018	Rant's Receipt		a,The receipt issued by Rant upon his receiving of the clay pot. Take this to Guard Arnold.\0	-1	a,	a,	a,	a,	0	0	0	a,
1019	official Letter		a,An official letter that the Lord of Gludio has sent to Sir Colin Windawood, calling a meeting. Deliver this to Sir Windawood.\0	-1	a,	a,	a,	a,	0	0	0	a,
1020	Flame Shard		a,A fragment of soul ore of fire. Can be taken from the fire spirit salamander. Give it to Trader Katerina.\0	-1	a,	a,	a,	a,	0	0	0	a,
1021	Ice Shard		a,A fragment of elemental stone of water. Can be taken from the water spirit undine. Give to Trader Katerina.\0	-1	a,	a,	a,	a,	0	0	0	a,
1022	Lilith's Letter		a,A letter written by Lilith in longing for her lover, separated a thousand years ago. Find out news about her lover for her.\0	-1	a,	a,	a,	a,	0	0	0	a,
1023	Theon's Diary		a,A diary written by Theon in longing for his lover, separated a thousand years ago. Take this to Lilith.\0	-1	a,	a,	a,	a,	0	0	0	a,
1024	Adamantite Ore		a,Adamantite ore. All of it is imported from Gracia. Gather 20 of these and take them to Warehouse Keeper Wilford.\0	-1	a,	a,	a,	a,	0	0	0	a,
1025	Clay Tablet		a,A tablet praising Beleth that the devil Nerkas possessed. Deliver this to High Priest Biotin.\0	-1	a,	a,	a,	a,	0	0	0	a,
1026	Silvery Spidersilk		a,The spider silk of the silver spider. Take this to Trader Unoren of the weapons shop.\0	-1	a,	a,	a,	a,	0	0	0	a,
1027	Unoren's Receipt		a,The receipt issued by the magic shop. Take this and go to Trader Creamees.\0	-1	a,	a,	a,	a,	0	0	0	a,
1028	Creamees's Ticket		a,A ticket issued by the warehouse. Take this and go to Warehouse Keeper Julia.\0	-1	a,	a,	a,	a,	0	0	0	a,
1029	Nightshade Leaf		a,The leaf of the nightshade plant. Take this to Nerupa.\0	-1	a,	a,	a,	a,	0	0	0	a,
1030	Cracked Skull		a,The cracked skull of the Dark Horror. Take this to Magister Vlasty.\0	-1	a,	a,	a,	a,	0	0	0	a,
1031	Perfect Skull		a,Skull of the dark horror. Take this to Magister Vlasty.\0	-1	a,	a,	a,	a,	0	0	0	a,
1032	Fox Fur		a,A mane of keltirs. It is soft and luxurious, and used to spin thread and yarn. Take this to Cristel.\0	-1	a,	a,	a,	a,	0	0	0	a,
1033	Fox Fur Yarn		a,Yarn spun out of the fur of keltirs. Take this to the former tailor Warehouse Keeper Rolfe, and he will make it into the doll's hair.\0	-1	a,	a,	a,	a,	0	0	0	a,
